personID,traj
1,"['3','4','4','5','3','0','3.5','5','5.5','2.5','5','5','0']"
2,"['5','3','5','4','2','0','4.5','3.5','2.5','1.5','5','5.5','0']"
3,"['1','1','2','2','4','0','2','6.5','1.5','4.5','1','1.5','0']"
4,"['2','5','4','1','4','0','3.5','5','6','1','4','5.5','0']"
5,"['2','4','1','2','3','0','3.5','6','1','4','3','5.5','0']"
6,"['2','1','2','1','1','0','5.5','3','2','2.5','2','3','0']"
7,"['2','4','4','5','2','0','5','3.5','6.5','5','1','5','0']"
8,"['1','3','2','1','1','0','5','4','1.5','1.5','4.5','1','0']"
9,"['1','4','3','3','4','0','2.5','4','2.5','6','5.5','3','0']"
10,"['5','2','1','4','2','0','2','3','4','2.5','6','2','0']"
11,"['1','2','3','2','5','0','4.5','5','3','3.5','3.5','4','0']"
12,"['3','5','1','3','2','0','6','5','4','1.5','5.5','2','0']"
13,"['3','1','3','3','5','0','4.5','6.5','6','2.5','3.5','1','0']"
14,"['3','4','3','5','5','0','1','1.5','6','6.5','1','6.5','0']"
15,"['2','3','5','5','1','0','4','1','4.5','5','4','3.5','0']"
16,"['3','3','5','2','2','0','5','1','6','5.5','3.5','1.5','0']"
17,"['1','4','5','3','1','0','1','6.5','1','5.5','1','3','0']"
18,"['2','5','5','4','5','0','1','3.5','3.5','3.5','4','6.5','0']"
19,"['3','1','1','1','2','0','2','5','1.5','6','3','3','0']"
20,"['2','4','1','3','1','0','4.5','6.5','4','4','2.5','2','0']"
21,"['5','2','1','4','3','0','6','3','6.5','2.5','1','4','0']"
22,"['4','2','5','2','4','0','6','1','5','2','1','5','0']"
23,"['3','4','1','3','4','0','3.5','3','6','3','4','3.5','0']"
24,"['1','4','4','4','1','0','6.5','6','1','1','2.5','4.5','0']"
25,"['5','3','4','5','3','0','6','1.5','1.5','5.5','2','6','0']"
26,"['1','3','4','5','2','0','4.5','2.5','5','3.5','6.5','6.5','0']"
27,"['2','1','4','2','3','0','4.5','5.5','6','1.5','5','3.5','0']"
28,"['4','5','5','5','2','0','2.5','3','4.5','2.5','3.5','3','0']"
29,"['5','2','4','3','3','0','5.5','1.5','3','2','6.5','4','0']"
30,"['5','5','2','2','1','0','2','2','3','1','2.5','1','0']"
31,"['1','2','5','5','1','0','3.5','6.5','5.5','2.5','5','5','0']"
32,"['3','5','2','1','2','0','4','2.5','2','6.5','3','3.5','0']"
33,"['1','1','4','1','2','0','2','4','1','3','3.5','6','0']"
34,"['1','1','3','3','4','0','5','6.5','2','6','1.5','6.5','0']"
35,"['5','2','5','4','3','0','4.5','5','5','6','4.5','1.5','0']"
36,"['3','1','2','3','4','0','6','4.5','1','4.5','2.5','6','0']"
37,"['1','4','4','2','5','0','5','6','3.5','4.5','3','3','0']"
38,"['5','3','3','1','1','0','2.5','4','3.5','4','2','5.5','0']"
39,"['3','5','2','4','1','0','6','5','5','4','4','6.5','0']"
40,"['1','1','1','4','3','0','4','3.5','2.5','5.5','5','1','0']"
41,"['5','1','5','1','3','0','4','2','3','5.5','5.5','1','0']"
42,"['4','2','2','1','3','0','3','2.5','6.5','2','5.5','3','0']"
43,"['5','1','5','5','2','0','3','6.5','2','4','4','2.5','0']"
44,"['3','4','1','3','1','0','4.5','1','6','3','3.5','2.5','0']"
45,"['1','5','5','4','2','0','3.5','1.5','6','4','2.5','1','0']"
46,"['5','2','2','1','1','0','3.5','6.5','6','1','5','5','0']"
47,"['1','3','4','4','1','0','4','1.5','6.5','2.5','2.5','2.5','0']"
48,"['3','3','5','5','2','0','4.5','6.5','1','1','1.5','4.5','0']"
49,"['2','2','1','4','5','0','1.5','4','6','4','6','1.5','0']"
50,"['2','5','3','5','2','0','5.5','3','3.5','3.5','6','2','0']"
51,"['2','4','4','1','3','0','4','1','6','5','1.5','3.5','0']"
52,"['5','2','1','2','5','0','5.5','5','2','6','2','6.5','0']"
53,"['2','5','5','3','1','0','1.5','1.5','5.5','1.5','3.5','3.5','0']"
54,"['1','2','4','2','1','0','5.5','5','3.5','5.5','5.5','1.5','0']"
55,"['4','5','5','2','5','0','5.5','2','6','4','6','6','0']"
56,"['3','2','3','4','1','0','2','3','2','6','4','5','0']"
57,"['5','1','3','4','3','0','1.5','4','2.5','4.5','6','5','0']"
58,"['2','1','4','1','2','0','6','4.5','4.5','3','6.5','5','0']"
59,"['4','2','5','4','5','0','5.5','4','3','5','1','5','0']"
60,"['3','1','2','3','1','0','6.5','3.5','2','6','4.5','4.5','0']"
61,"['5','5','5','1','1','0','1','1','1','1.5','2.5','6.5','0']"
62,"['3','3','2','2','5','0','3.5','6','6.5','2','4.5','2.5','0']"
63,"['2','3','3','1','3','0','1','1','2.5','2.5','2.5','2','0']"
64,"['4','1','2','1','2','0','6.5','6.5','6','2.5','2','4','0']"
65,"['2','1','3','5','2','0','2','5','2.5','2.5','2.5','3.5','0']"
66,"['3','1','3','2','5','0','2.5','4.5','3.5','6','1.5','3','0']"
67,"['2','3','5','1','5','0','1.5','6','6','5','4','1','0']"
68,"['2','5','1','1','5','0','3.5','1.5','4.5','3.5','3','2.5','0']"
69,"['4','4','5','2','5','0','6.5','6.5','4.5','1','2','5.5','0']"
70,"['2','5','2','3','3','0','2.5','5','5.5','3','1','2','0']"
71,"['2','4','3','3','3','0','2','6.5','6.5','1','3','6.5','0']"
