personID,traj
1,"['2','5','4','3','4','0','4.5','5.5','3.5','3.5','2','5','0']"
2,"['1','1','4','3','1','0','6','1','5.5','5','5','4.5','0']"
3,"['1','2','3','5','5','0','1','4','3.5','2.5','2','3.5','0']"
4,"['2','2','2','4','1','0','5','4','2','4.5','2','6.5','0']"
5,"['3','4','3','5','4','0','5.5','1','6.5','2','4.5','3','0']"
6,"['3','5','4','3','1','0','3.5','6.5','4','5','3.5','3.5','0']"
7,"['4','3','5','5','2','0','2','3','3','2.5','4','5','0']"
8,"['2','2','5','1','1','0','1.5','3','5.5','2','6','5','0']"
9,"['1','2','1','1','3','0','3','5.5','5.5','5','6.5','1.5','0']"
10,"['1','4','5','2','3','0','5','1','2','4','6','5','0']"
11,"['1','4','4','2','1','0','1','3.5','3.5','5.5','6','4.5','0']"
12,"['1','4','2','5','1','0','6.5','2.5','1','6','6','4','0']"
13,"['2','3','5','1','1','0','2','4.5','3','2','2','1.5','0']"
14,"['2','4','3','4','2','0','5.5','5','3.5','4','2.5','3.5','0']"
15,"['2','5','2','2','1','0','4.5','6.5','4','3','1','1.5','0']"
16,"['3','1','3','2','3','0','2','4','3.5','6.5','4','4','0']"
17,"['3','1','4','5','2','0','4','3.5','6.5','3.5','1','5','0']"
18,"['5','4','3','4','5','0','5.5','4.5','3','5.5','2.5','1.5','0']"
19,"['4','5','2','2','1','0','3','6','6','5','5.5','3','0']"
20,"['5','4','5','3','1','0','3','4.5','5','6','1.5','4.5','0']"
21,"['3','5','3','4','2','0','4','2.5','1','3.5','3','5.5','0']"
22,"['2','5','4','3','5','0','2.5','4','6','5','1.5','5','0']"
23,"['2','5','2','1','3','0','1.5','1','2','1.5','3','1.5','0']"
24,"['2','3','1','3','4','0','4','1','3','3','6','4.5','0']"
25,"['2','2','5','1','4','0','6.5','3','5.5','2','1.5','5.5','0']"
26,"['2','4','1','2','1','0','5.5','4.5','6','3.5','1','4','0']"
27,"['3','1','5','4','1','0','1.5','6','4.5','4.5','1','3.5','0']"
28,"['1','1','2','2','1','0','1','3.5','1.5','4','1','5','0']"
29,"['1','3','4','2','2','0','1','4.5','6.5','4','5','5','0']"
30,"['5','2','2','1','4','0','4.5','4','2','2.5','6','3.5','0']"
31,"['3','5','3','5','4','0','2','6.5','6','3','5','3','0']"
32,"['5','4','5','5','3','0','2.5','3.5','3.5','4','4','6.5','0']"
33,"['2','1','4','3','1','0','2.5','5.5','1','1.5','5.5','3','0']"
34,"['1','5','3','2','3','0','4','2','3','6','6.5','4','0']"
35,"['4','4','5','3','2','0','2.5','4','2','1','5.5','1','0']"
36,"['3','5','3','5','4','0','6.5','1.5','1.5','4','5','6','0']"
37,"['3','3','5','5','1','0','5.5','3','4.5','1','4.5','2.5','0']"
38,"['2','5','2','2','5','0','6.5','4.5','5.5','1','5','4','0']"
39,"['5','3','3','1','4','0','2.5','4.5','1','4','2','2','0']"
40,"['5','2','4','4','4','0','6','6','4','3','4.5','1.5','0']"
41,"['1','1','5','4','2','0','3','2','1.5','5.5','1','4','0']"
42,"['1','4','1','2','3','0','5.5','3.5','3.5','6','2','1.5','0']"
43,"['1','2','4','4','3','0','4.5','5','5.5','6','3','1.5','0']"
44,"['2','1','1','5','2','0','1','1.5','5.5','1','2.5','6','0']"
45,"['3','3','2','4','4','0','5.5','4.5','3','2','3.5','1.5','0']"
46,"['2','3','4','1','5','0','3','2','4','2.5','1.5','4','0']"
47,"['2','1','4','1','5','0','3','3.5','3.5','4','5','1','0']"
48,"['4','1','3','4','2','0','5','2','5.5','2','4','2.5','0']"
49,"['5','2','5','5','5','0','5.5','6','2.5','3.5','3','5','0']"
50,"['3','3','5','1','2','0','2.5','2','2','5','1','4.5','0']"
51,"['4','5','3','3','2','0','2.5','2','2','2.5','5.5','4.5','0']"
52,"['2','4','4','5','3','0','2.5','2.5','3','4.5','2','4','0']"
53,"['1','2','2','1','4','0','5.5','6.5','4','1','2.5','1','0']"
54,"['4','1','1','3','4','0','6.5','2','1','1.5','4','3','0']"
55,"['5','4','1','3','5','0','6','4','3','5.5','2.5','3','0']"
56,"['1','1','5','2','3','0','4.5','6','2.5','6','6','6.5','0']"
57,"['2','5','2','2','5','0','5','5','5.5','5','2','2','0']"
58,"['1','4','3','3','4','0','5','1','4.5','6.5','4.5','3','0']"
59,"['5','1','3','3','4','0','3.5','1.5','5','2.5','1.5','4','0']"
60,"['2','4','5','3','4','0','1','1','2.5','2','3','3','0']"
61,"['2','4','2','4','2','0','4.5','2.5','4.5','1.5','5','5.5','0']"
62,"['1','3','4','4','1','0','6.5','4','5','1','5.5','2','0']"
63,"['3','1','5','1','1','0','5','4.5','4','6','1.5','4.5','0']"
64,"['2','2','4','5','4','0','4','3','4.5','4.5','4.5','3.5','0']"
65,"['4','5','3','2','2','0','2.5','2.5','1.5','6','2','2.5','0']"
66,"['5','3','5','2','3','0','6','6.5','5','4.5','4.5','6','0']"
67,"['1','3','4','2','3','0','5','1.5','2','5.5','4','2','0']"
68,"['4','5','4','4','1','0','1','5.5','2.5','1','6.5','3.5','0']"
69,"['3','3','5','3','2','0','6.5','5','4','6.5','4','4','0']"
70,"['3','1','5','1','4','0','5','5.5','4.5','2','6','1.5','0']"
71,"['1','2','1','2','4','0','4.5','1','5','6','5.5','1.5','0']"
72,"['3','2','2','1','5','0','5','1','1','2','1.5','5.5','0']"
73,"['3','2','4','3','4','0','2.5','4.5','1','1.5','4.5','3','0']"
74,"['4','1','1','5','4','0','1.5','5','2.5','4.5','5.5','3','0']"
75,"['3','1','2','4','2','0','4','3.5','4','1.5','1','1.5','0']"
76,"['3','1','4','5','1','0','5','5.5','6','1','3.5','5.5','0']"
77,"['2','3','1','2','1','0','5','6.5','1','4.5','5.5','6','0']"
78,"['1','3','4','3','4','0','1.5','3','5.5','2.5','2.5','2.5','0']"
79,"['5','2','2','1','2','0','3','4.5','1','2.5','4','6.5','0']"
80,"['2','2','3','4','4','0','4.5','6','2.5','4.5','1','1.5','0']"
81,"['1','1','1','4','4','0','1.5','4','3.5','2.5','6','2.5','0']"
82,"['2','5','3','2','2','0','3','4','2.5','2.5','4','1','0']"
83,"['1','4','4','1','4','0','5','2.5','4.5','6','5','1.5','0']"
84,"['3','2','2','2','1','0','4','1.5','4','5','2.5','3','0']"
85,"['5','5','1','3','5','0','3.5','4.5','1.5','1.5','2.5','5.5','0']"
86,"['3','2','4','2','3','0','6','2.5','2.5','4.5','6.5','2.5','0']"
87,"['4','5','1','3','3','0','5.5','3.5','3.5','1','4','5','0']"
88,"['1','3','2','3','2','0','4.5','2','3.5','6.5','5','2','0']"
89,"['5','1','2','2','2','0','4.5','6.5','3.5','2','5','3.5','0']"
90,"['3','1','1','2','5','0','4','2','1','4','3','4.5','0']"
91,"['3','5','4','5','3','0','1','6','5.5','1','5.5','2.5','0']"
92,"['1','2','3','4','1','0','2','6.5','6.5','6','5.5','2.5','0']"
93,"['4','5','2','2','1','0','3','2.5','4.5','5.5','1','2','0']"
94,"['1','3','3','3','3','0','6','6.5','2.5','3','6','3.5','0']"
95,"['4','1','2','4','5','0','5.5','6.5','6.5','6.5','2','5','0']"
96,"['3','2','5','1','2','0','4.5','3.5','2.5','3','1','5','0']"
97,"['2','3','3','1','3','0','3.5','1','5.5','2','6','6','0']"
98,"['5','1','1','4','5','0','2.5','6','6','2.5','2.5','4','0']"
99,"['4','2','4','3','4','0','2.5','5','5.5','1','1','5.5','0']"
100,"['2','3','2','3','3','0','2.5','2.5','2','2','2.5','5','0']"
101,"['2','4','3','5','4','0','4','5.5','3','3.5','1','6.5','0']"
102,"['4','2','4','2','1','0','1','3','3','1','3.5','1.5','0']"
103,"['3','4','4','1','5','0','2.5','2.5','4.5','3.5','6.5','5.5','0']"
104,"['3','1','4','3','4','0','2.5','3','6','2','2','1.5','0']"
105,"['1','5','5','4','2','0','6','2.5','4','4','1.5','1','0']"
106,"['5','5','1','5','1','0','1','6','6.5','2.5','5.5','1.5','0']"
107,"['1','4','4','4','2','0','6','2.5','5.5','3','5.5','3','0']"
108,"['4','1','4','3','2','0','2.5','5.5','4.5','3.5','3.5','6','0']"
109,"['2','2','2','2','3','0','1','4.5','4','4','4','6','0']"
110,"['1','2','3','2','1','0','1.5','5','6.5','1.5','2','3','0']"
111,"['3','3','3','5','4','0','3','4.5','5','3.5','1.5','3','0']"
112,"['1','1','1','1','4','0','5.5','6.5','1.5','2','3.5','1','0']"
113,"['4','5','3','2','2','0','3.5','2','3.5','6.5','2.5','1','0']"
114,"['4','4','4','5','3','0','4','4','6.5','6','3.5','2','0']"
115,"['5','5','4','2','2','0','4','6','5.5','6','5','1.5','0']"
116,"['3','3','4','3','2','0','1','2','6.5','2.5','2','5','0']"
117,"['5','2','5','2','2','0','4','1','2','6.5','5.5','3','0']"
118,"['1','2','1','1','2','0','1','6','3.5','3.5','6.5','1','0']"
119,"['3','3','3','3','2','0','6.5','5','2','4','3.5','1','0']"
